alpha,beta,motion.x,motion.y
0.0,-0.024997746502703894,-0.002024322748184204,0.01765604317188263
-0.33333333333333337,-0.19310254035109808,-0.0041179358959198,0.015255451202392578
-0.5,-0.04643297299579624,-0.002267301082611084,0.00723227858543396
0.16666666666666663,0.16279331830737237,-0.0035802721977233887,0.017175674438476562
0.5,-0.055129728554859536,0.017945051193237305,0.022869378328323364
0.33333333333333326,0.14427865196742745,4.1365623474121094e-05,0.024396628141403198
-0.16666666666666669,0.061400245863522385,-0.00443720817565918,0.013548314571380615
-2.9749259869231266,0.12675221895269606,0.00012063980102539062,-0.026229172945022583
-2.80825932025646,0.13650657290942114,-0.001421809196472168,-0.022655576467514038
-2.641592653589793,0.03967332819826805,-0.00676921010017395,-0.013963013887405396
-3.3082593202564596,-0.1117677725221184,-0.0003266334533691406,-0.028226137161254883
-3.641592653589793,-0.16479804649219887,0.008520722389221191,-0.03570927679538727
-3.141592653589793,-0.14856401434511396,-0.0047865211963653564,-0.024102628231048584
-3.4749259869231266,0.06503083016206707,0.013317644596099854,-0.034751713275909424
